,Unnamed: 0,year,make,model,body_styles
0,0.0,2021,Acura,ILX,"[""Sedan""]"
1,1.0,2021,Acura,RDX,"[""SUV""]"
2,2.0,2021,Acura,TLX,"[""Sedan""]"
3,3.0,2021,Alfa Romeo,Giulia,"[""Sedan""]"
4,4.0,2021,Alfa Romeo,Stelvio,"[""SUV""]"
5,5.0,2021,Audi,A6 allroad,"[""Wagon""]"
6,6.0,2021,Audi,A7,"[""Sedan""]"
7,7.0,2021,Audi,Q3,"[""SUV""]"
8,8.0,2021,Audi,Q5,"[""SUV""]"
9,9.0,2021,Audi,Q8,"[""SUV""]"
10,10.0,2021,Audi,S5,"[""Convertible"", ""Sedan"", ""Coupe""]"
11,11.0,2021,Audi,S6,"[""Sedan""]"
12,12.0,2021,BMW,3 Series,"[""Sedan""]"
13,13.0,2021,BMW,X1,"[""SUV""]"
14,14.0,2021,BMW,X3,"[""SUV""]"
15,15.0,2021,BMW,X5,"[""SUV""]"
16,16.0,2021,BMW,X7,"[""SUV""]"
17,17.0,2021,Buick,Enclave,"[""SUV""]"
18,18.0,2021,Buick,Encore,"[""SUV""]"
19,19.0,2021,Buick,Encore GX,"[""SUV""]"
20,20.0,2021,Buick,Envision,"[""SUV""]"
21,21.0,2021,Cadillac,CT4,"[""Sedan""]"
22,22.0,2021,Cadillac,CT5,"[""Sedan""]"
23,23.0,2021,Cadillac,Escalade,"[""SUV""]"
24,24.0,2021,Cadillac,Escalade ESV,"[""SUV""]"
25,25.0,2021,Cadillac,XT4,"[""SUV""]"
26,26.0,2021,Cadillac,XT5,"[""SUV""]"
27,27.0,2021,Cadillac,XT6,"[""SUV""]"
28,28.0,2021,Chevrolet,Blazer,"[""SUV""]"
29,29.0,2021,Chevrolet,Bolt EV,"[""Hatchback""]"
30,30.0,2021,Chevrolet,Camaro,"[""Coupe""]"
31,31.0,2021,Chevrolet,Colorado Crew Cab,"[""Pickup""]"
32,32.0,2021,Chevrolet,Colorado Extended Cab,"[""Pickup""]"
33,33.0,2021,Chevrolet,Corvette,"[""Convertible"", ""Coupe""]"
34,34.0,2021,Chevrolet,Equinox,"[""SUV""]"
35,35.0,2021,Chevrolet,Express 3500 Cargo,"[""Van/Minivan""]"
36,36.0,2021,Chevrolet,Malibu,"[""Sedan""]"
37,37.0,2021,Chevrolet,Silverado 1500 Crew Cab,"[""Pickup""]"
38,38.0,2021,Chevrolet,Silverado 2500 HD Crew Cab,"[""Pickup""]"
39,39.0,2021,Chevrolet,Silverado 2500 HD Double Cab,"[""Pickup""]"
40,40.0,2021,Chevrolet,Silverado 2500 HD Regular Cab,"[""Pickup""]"
41,41.0,2021,Chevrolet,Silverado 3500 HD Crew Cab,"[""Pickup""]"
42,42.0,2021,Chevrolet,Spark,"[""Hatchback""]"
43,43.0,2021,Chevrolet,Suburban,"[""SUV""]"
44,44.0,2021,Chevrolet,Tahoe,"[""SUV""]"
45,45.0,2021,Chevrolet,Trailblazer,"[""SUV""]"
46,46.0,2021,Chevrolet,Traverse,"[""SUV""]"
47,47.0,2021,Chevrolet,Trax,"[""SUV""]"
48,48.0,2021,Chrysler,300,"[""Sedan""]"
49,49.0,2021,Chrysler,Pacifica,"[""Van/Minivan""]"
50,50.0,2021,Chrysler,Voyager,"[""Van/Minivan""]"
51,51.0,2021,Dodge,Challenger,"[""Coupe""]"
52,52.0,2021,Dodge,Charger,"[""Sedan""]"
53,53.0,2021,Dodge,Durango,"[""SUV""]"
54,54.0,2021,FIAT,500X,"[""SUV""]"
55,55.0,2021,Ford,Bronco Sport,"[""SUV""]"
56,56.0,2021,Ford,EcoSport,"[""SUV""]"
57,57.0,2021,Ford,Edge,"[""SUV""]"
58,58.0,2021,Ford,Escape,"[""SUV""]"
59,59.0,2021,Ford,Expedition,"[""SUV""]"
60,60.0,2021,Ford,Expedition MAX,"[""SUV""]"
61,61.0,2021,Ford,Explorer,"[""SUV""]"
62,62.0,2021,Ford,F150 SuperCrew Cab,"[""Pickup""]"
63,63.0,2021,Ford,F250 Super Duty Crew Cab,"[""Pickup""]"
64,64.0,2021,Ford,Mustang,"[""Coupe"", ""Convertible""]"
65,65.0,2021,Ford,Ranger SuperCrew,"[""Pickup""]"
66,66.0,2021,Ford,Transit Connect Cargo Van,"[""Van/Minivan""]"
67,67.0,2021,Genesis,G70,"[""Sedan""]"
68,68.0,2021,Genesis,G80,"[""Sedan""]"
69,69.0,2021,Genesis,G90,"[""Sedan""]"
70,70.0,2021,Genesis,GV80,"[""SUV""]"
71,71.0,2021,GMC,Acadia,"[""SUV""]"
72,72.0,2021,GMC,Canyon Crew Cab,"[""Pickup""]"
73,73.0,2021,GMC,Canyon Extended Cab,"[""Pickup""]"
74,74.0,2021,GMC,Sierra 1500 Crew Cab,"[""Pickup""]"
75,75.0,2021,GMC,Sierra 2500 HD Crew Cab,"[""Pickup""]"
76,76.0,2021,GMC,Sierra 3500 HD Crew Cab,"[""Pickup""]"
77,77.0,2021,GMC,Terrain,"[""SUV""]"
78,78.0,2021,GMC,Yukon,"[""SUV""]"
79,79.0,2021,GMC,Yukon XL,"[""SUV""]"
80,80.0,2021,Honda,Accord,"[""Sedan""]"
81,81.0,2021,Honda,Accord Hybrid,"[""Sedan""]"
82,82.0,2021,Honda,Civic,"[""Hatchback"", ""Sedan""]"
83,83.0,2021,Honda,Civic Type R,"[""Hatchback""]"
84,84.0,2021,Honda,CR-V,"[""SUV""]"
85,85.0,2021,Honda,CR-V Hybrid,"[""SUV""]"
86,86.0,2021,Honda,HR-V,"[""SUV""]"
87,87.0,2021,Honda,Insight,"[""Sedan""]"
88,88.0,2021,Honda,Odyssey,"[""Van/Minivan""]"
89,89.0,2021,Honda,Passport,"[""SUV""]"
90,90.0,2021,Honda,Pilot,"[""SUV""]"
91,91.0,2021,Honda,Ridgeline,"[""Pickup""]"
92,92.0,2021,Hyundai,Accent,"[""Sedan""]"
93,93.0,2021,Hyundai,Elantra,"[""Sedan""]"
94,94.0,2021,Hyundai,Ioniq Electric,"[""Hatchback""]"
95,95.0,2021,Hyundai,Ioniq Hybrid,"[""Hatchback""]"
96,96.0,2021,Hyundai,Ioniq Plug-in Hybrid,"[""Hatchback""]"
97,97.0,2021,Hyundai,Kona,"[""SUV""]"
98,98.0,2021,Hyundai,Kona Electric,"[""SUV""]"
99,99.0,2021,Hyundai,Palisade,"[""SUV""]"
100,100.0,2021,Hyundai,Santa Fe,"[""SUV""]"
101,101.0,2021,Hyundai,Sonata,"[""Sedan""]"
102,102.0,2021,Hyundai,Sonata Hybrid,"[""Sedan""]"
103,103.0,2021,Hyundai,Tucson,"[""SUV""]"
104,104.0,2021,Hyundai,Veloster,"[""Coupe""]"
105,105.0,2021,Hyundai,Venue,"[""SUV""]"
106,106.0,2021,INFINITI,Q50,"[""Sedan""]"
107,107.0,2021,INFINITI,QX50,"[""SUV""]"
108,108.0,2021,INFINITI,QX80,"[""SUV""]"
109,109.0,2021,Jaguar,E-PACE,"[""SUV""]"
110,110.0,2021,Jaguar,I-PACE,"[""SUV""]"
111,111.0,2021,Jeep,Cherokee,"[""SUV""]"
112,112.0,2021,Jeep,Compass,"[""SUV""]"
113,113.0,2021,Jeep,Gladiator,"[""Pickup""]"
114,114.0,2021,Jeep,Grand Cherokee,"[""SUV""]"
115,115.0,2021,Jeep,Grand Cherokee L,"[""SUV""]"
116,116.0,2021,Jeep,Renegade,"[""SUV""]"
117,117.0,2021,Jeep,Wrangler,"[""SUV""]"
118,118.0,2021,Jeep,Wrangler Unlimited,"[""SUV""]"
119,119.0,2021,Kia,Forte,"[""Sedan""]"
120,120.0,2021,Kia,K5,"[""Sedan""]"
121,121.0,2021,Kia,Rio,"[""Hatchback"", ""Sedan""]"
122,122.0,2021,Kia,Sedona,"[""Van/Minivan""]"
123,123.0,2021,Kia,Seltos,"[""SUV""]"
124,124.0,2021,Kia,Sorento,"[""SUV""]"
125,125.0,2021,Kia,Soul,"[""Wagon""]"
126,126.0,2021,Kia,Sportage,"[""SUV""]"
127,127.0,2021,Kia,Stinger,"[""Sedan""]"
128,128.0,2021,Kia,Telluride,"[""SUV""]"
129,129.0,2021,Land Rover,Discovery,"[""SUV""]"
130,130.0,2021,Land Rover,Range Rover,"[""SUV""]"
131,131.0,2021,Land Rover,Range Rover Sport,"[""SUV""]"
132,132.0,2021,Land Rover,Range Rover Velar,"[""SUV""]"
133,133.0,2021,Lexus,ES,"[""Sedan""]"
134,134.0,2021,Lexus,GX,"[""SUV""]"
135,135.0,2021,Lexus,IS,"[""Sedan""]"
136,136.0,2021,Lexus,LC,"[""Coupe"", ""Convertible""]"
137,137.0,2021,Lexus,LS,"[""Sedan""]"
138,138.0,2021,Lexus,LX,"[""SUV""]"
139,139.0,2021,Lexus,NX,"[""SUV""]"
140,140.0,2021,Lexus,RC,"[""Coupe""]"
141,141.0,2021,Lexus,RX,"[""SUV""]"
142,142.0,2021,Lexus,UX,"[""SUV""]"
143,143.0,2021,Lincoln,Aviator,"[""SUV""]"
144,144.0,2021,Lincoln,Corsair,"[""SUV""]"
145,145.0,2021,Lincoln,Nautilus,"[""SUV""]"
146,146.0,2021,Lincoln,Navigator,"[""SUV""]"
147,147.0,2021,Lincoln,Navigator L,"[""SUV""]"
148,148.0,2021,MAZDA,CX-3,"[""SUV""]"
149,149.0,2021,MAZDA,CX-30,"[""SUV""]"
150,150.0,2021,MAZDA,CX-5,"[""SUV""]"
151,151.0,2021,MAZDA,CX-9,"[""SUV""]"
152,152.0,2021,MAZDA,MAZDA3,"[""Hatchback"", ""Sedan""]"
153,153.0,2021,MAZDA,MAZDA6,"[""Sedan""]"
154,154.0,2021,MAZDA,MX-5 Miata,"[""Convertible""]"
155,155.0,2021,MAZDA,MX-5 Miata RF,"[""Convertible""]"
156,156.0,2021,Mercedes-Benz,A-Class,"[""Sedan""]"
157,157.0,2021,Mercedes-Benz,C-Class,"[""Coupe""]"
158,158.0,2021,Mercedes-Benz,G-Class,"[""SUV""]"
159,159.0,2021,Mercedes-Benz,GLA,"[""SUV""]"
160,160.0,2021,Mercedes-Benz,GLB,"[""SUV""]"
161,161.0,2021,Mercedes-Benz,GLC,"[""SUV""]"
162,162.0,2021,Mercedes-Benz,GLE,"[""SUV""]"
163,163.0,2021,Mercedes-Benz,Mercedes-AMG G-Class,"[""SUV""]"
164,164.0,2021,Mitsubishi,Outlander Sport,"[""SUV""]"
165,165.0,2021,Nissan,Altima,"[""Sedan""]"
166,166.0,2021,Nissan,Frontier Crew Cab,"[""Pickup""]"
167,167.0,2021,Nissan,Frontier King Cab,"[""Pickup""]"
168,168.0,2021,Nissan,Kicks,"[""SUV""]"
169,169.0,2021,Nissan,LEAF,"[""Hatchback""]"
170,170.0,2021,Nissan,Maxima,"[""Sedan""]"
171,171.0,2021,Nissan,Murano,"[""SUV""]"
172,172.0,2021,Nissan,NV3500 HD Cargo,"[""Van/Minivan""]"
173,173.0,2021,Nissan,Rogue,"[""SUV""]"
174,174.0,2021,Nissan,Sentra,"[""Sedan""]"
175,175.0,2021,Nissan,TITAN XD Crew Cab,"[""Pickup""]"
176,176.0,2021,Nissan,Versa,"[""Sedan""]"
177,177.0,2021,Polestar,2,"[""Hatchback""]"
178,178.0,2021,Porsche,718 Boxster,"[""Convertible""]"
179,179.0,2021,Porsche,718 Cayman,"[""Coupe""]"
180,180.0,2021,Porsche,718 Spyder,"[""Convertible""]"
181,181.0,2021,Porsche,911,"[""Coupe"", ""Convertible""]"
182,182.0,2021,Porsche,Cayenne,"[""SUV""]"
183,183.0,2021,Porsche,Cayenne Coupe,"[""SUV""]"
184,184.0,2021,Porsche,Macan,"[""SUV""]"
185,185.0,2021,Porsche,Panamera,"[""Sedan""]"
186,186.0,2021,Porsche,Taycan,"[""Sedan""]"
187,187.0,2021,Ram,1500 Crew Cab,"[""Pickup""]"
188,188.0,2021,Ram,2500 Crew Cab,"[""Pickup""]"
189,189.0,2021,Ram,2500 Mega Cab,"[""Pickup""]"
190,190.0,2021,Ram,ProMaster Cargo Van,"[""Van/Minivan""]"
191,191.0,2021,Ram,ProMaster City,"[""Van/Minivan""]"
192,192.0,2021,Ram,ProMaster Window Van,"[""Van/Minivan""]"
193,193.0,2021,Rivian,R1S,"[""SUV""]"
194,194.0,2021,Rivian,R1T,"[""Pickup""]"
195,195.0,2021,Subaru,Ascent,"[""SUV""]"
196,196.0,2021,Subaru,Crosstrek,"[""SUV""]"
197,197.0,2021,Subaru,Forester,"[""SUV""]"
198,198.0,2021,Subaru,Impreza,"[""Wagon"", ""Sedan""]"
199,199.0,2021,Subaru,Legacy,"[""Sedan""]"
200,200.0,2021,Subaru,Outback,"[""SUV""]"
201,201.0,2021,Tesla,Model S,"[""Sedan""]"
202,202.0,2021,Tesla,Model X,"[""SUV""]"
203,203.0,2021,Toyota,4Runner,"[""SUV""]"
204,204.0,2021,Toyota,Avalon,"[""Sedan""]"
205,205.0,2021,Toyota,Avalon Hybrid,"[""Sedan""]"
206,206.0,2021,Toyota,Camry,"[""Sedan""]"
207,207.0,2021,Toyota,Camry Hybrid,"[""Sedan""]"
208,208.0,2021,Toyota,C-HR,"[""SUV""]"
209,209.0,2021,Toyota,Corolla,"[""Sedan""]"
210,210.0,2021,Toyota,Corolla Hatchback,"[""Hatchback""]"
211,211.0,2021,Toyota,Corolla Hybrid,"[""Sedan""]"
212,212.0,2021,Toyota,GR Supra,"[""Coupe""]"
213,213.0,2021,Toyota,Highlander,"[""SUV""]"
214,214.0,2021,Toyota,Highlander Hybrid,"[""SUV""]"
215,215.0,2021,Toyota,Land Cruiser,"[""SUV""]"
216,216.0,2021,Toyota,Prius,"[""Hatchback""]"
217,217.0,2021,Toyota,Prius Prime,"[""Hatchback""]"
218,218.0,2021,Toyota,RAV4,"[""SUV""]"
219,219.0,2021,Toyota,RAV4 Hybrid,"[""SUV""]"
220,220.0,2021,Toyota,RAV4 Prime,"[""SUV""]"
221,221.0,2021,Toyota,Sequoia,"[""SUV""]"
222,222.0,2021,Toyota,Sienna,"[""Van/Minivan""]"
223,223.0,2021,Toyota,Tacoma Access Cab,"[""Pickup""]"
224,224.0,2021,Toyota,Tacoma Double Cab,"[""Pickup""]"
225,225.0,2021,Toyota,Tundra CrewMax,"[""Pickup""]"
226,226.0,2021,Toyota,Tundra Double Cab,"[""Pickup""]"
227,227.0,2021,Toyota,Venza,"[""SUV""]"
228,228.0,2021,Volkswagen,Atlas,"[""SUV""]"
229,229.0,2021,Volkswagen,Atlas Cross Sport,"[""SUV""]"
230,230.0,2021,Volkswagen,Golf,"[""Hatchback""]"
231,231.0,2021,Volkswagen,Jetta,"[""Sedan""]"
232,232.0,2021,Volkswagen,Passat,"[""Sedan""]"
233,233.0,2021,Volkswagen,Tiguan,"[""SUV""]"
234,234.0,2021,Volvo,S90,"[""Sedan""]"
235,235.0,2021,Volvo,V60,"[""Wagon""]"
236,236.0,2021,Volvo,V90,"[""Wagon""]"
237,237.0,2021,Volvo,XC40,"[""SUV""]"
238,238.0,2021,Volvo,XC60,"[""SUV""]"
239,239.0,2021,Volvo,XC90,"[""SUV""]"
0,,2020,Acura,ILX,"[""Sedan""]"
1,,2020,Acura,MDX,"[""SUV""]"
2,,2020,Acura,MDX Sport Hybrid,"[""SUV""]"
3,,2020,Acura,NSX,"[""Coupe""]"
4,,2020,Acura,RDX,"[""SUV""]"
5,,2020,Acura,RLX,"[""Sedan""]"
6,,2020,Acura,RLX Sport Hybrid,"[""Sedan""]"
7,,2020,Acura,TLX,"[""Sedan""]"
8,,2020,Alfa Romeo,4C Spider,"[""Convertible""]"
9,,2020,Alfa Romeo,Giulia,"[""Sedan""]"
10,,2020,Alfa Romeo,Stelvio,"[""SUV""]"
11,,2020,Audi,A3,"[""Sedan""]"
12,,2020,Audi,A4,"[""Sedan""]"
13,,2020,Audi,A5,"[""Coupe"", ""Convertible"", ""Sedan""]"
14,,2020,Audi,A6,"[""Sedan""]"
15,,2020,Audi,A6 allroad,"[""Wagon""]"
16,,2020,Audi,A7,"[""Sedan""]"
17,,2020,Audi,Q3,"[""SUV""]"
18,,2020,Audi,Q5,"[""SUV""]"
19,,2020,Audi,Q7,"[""SUV""]"
20,,2020,Audi,Q8,"[""SUV""]"
21,,2020,Audi,R8,"[""Coupe"", ""Convertible""]"
22,,2020,Audi,S4,"[""Sedan""]"
23,,2020,Audi,S8,"[""Sedan""]"
24,,2020,Audi,SQ5,"[""SUV""]"
25,,2020,Audi,TT,"[""Coupe""]"
26,,2020,BMW,2 Series,"[""Coupe"", ""Sedan"", ""Convertible""]"
27,,2020,BMW,3 Series,"[""Sedan""]"
28,,2020,BMW,4 Series,"[""Sedan"", ""Coupe"", ""Convertible""]"
29,,2020,BMW,5 Series,"[""Sedan""]"
30,,2020,BMW,7 Series,"[""Sedan""]"
31,,2020,BMW,8 Series,"[""Coupe"", ""Convertible"", ""Sedan""]"
32,,2020,BMW,M2,"[""Coupe""]"
33,,2020,BMW,X1,"[""SUV""]"
34,,2020,BMW,X2,"[""SUV""]"
35,,2020,BMW,X3,"[""SUV""]"
36,,2020,BMW,X3 M,"[""SUV""]"
37,,2020,BMW,X4,"[""SUV""]"
38,,2020,BMW,X5,"[""SUV""]"
39,,2020,BMW,X6,"[""SUV""]"
40,,2020,BMW,X7,"[""SUV""]"
41,,2020,BMW,Z4,"[""Convertible""]"
42,,2020,Buick,Enclave,"[""SUV""]"
43,,2020,Buick,Encore,"[""SUV""]"
44,,2020,Buick,Encore GX,"[""SUV""]"
45,,2020,Buick,Envision,"[""SUV""]"
46,,2020,Buick,Regal Sportback,"[""Sedan""]"
47,,2020,Buick,Regal TourX,"[""Wagon""]"
48,,2020,Cadillac,CT4,"[""Sedan""]"
49,,2020,Cadillac,CT5,"[""Sedan""]"
50,,2020,Cadillac,CT6,"[""Sedan""]"
51,,2020,Cadillac,CT6-V,"[""Sedan""]"
52,,2020,Cadillac,Escalade,"[""SUV""]"
53,,2020,Cadillac,Escalade ESV,"[""SUV""]"
54,,2020,Cadillac,XT4,"[""SUV""]"
55,,2020,Cadillac,XT5,"[""SUV""]"
56,,2020,Cadillac,XT6,"[""SUV""]"
57,,2020,Chevrolet,Blazer,"[""SUV""]"
58,,2020,Chevrolet,Bolt EV,"[""Hatchback""]"
59,,2020,Chevrolet,Camaro,"[""Convertible"", ""Coupe""]"
60,,2020,Chevrolet,Colorado Crew Cab,"[""Pickup""]"
61,,2020,Chevrolet,Colorado Extended Cab,"[""Pickup""]"
62,,2020,Chevrolet,Corvette,"[""Coupe"", ""Convertible""]"
63,,2020,Chevrolet,Equinox,"[""SUV""]"
64,,2020,Chevrolet,Express 2500 Cargo,"[""Van/Minivan""]"
65,,2020,Chevrolet,Express 3500 Cargo,"[""Van/Minivan""]"
66,,2020,Chevrolet,Impala,"[""Sedan""]"
67,,2020,Chevrolet,Malibu,"[""Sedan""]"
68,,2020,Chevrolet,Silverado 1500 Crew Cab,"[""Pickup""]"
69,,2020,Chevrolet,Silverado 1500 Double Cab,"[""Pickup""]"
